
2015/07/21 15:59:58 : PARSING GOOGLE SCHOLAR;

2015/07/21 15:59:58 : Successfully connected driver;

2015/07/21 15:59:58 : Successfully connected to jdbc:postgresql://127.0.0.1:5432/patentDB user name is postgres, password is RichardCypher;

2015/07/21 15:59:58 : Get documents ./docs2/input0.html;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Сварка взрывом в металлургии;ВМ Кудинов, АЯ Коротеев ;1978; М.: Металлургия, ;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Сварка взрывом;ВИ Лысак, СВ Кузьмин ;2005; М.: Машиностроение, ;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Сварка взрывом;ЮА Конон, ЛБ Первухин, АД Чудновский ;1987; М.: Машиностроение, ;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Сварка взрывом и свойства сварных соединений;ВС Седых ;1995;   ВолгГТУ Волгоград;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Физика упрочнения и сварки взрывом;АА Дерибас, СС Григорян ;1980;   Издво" Наука", Сибирское отдние;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] О роли пластической деформации металла в зоне соединения при сварке взрывом;АН Кривенцов, ВС Седых ;1969; Физика и химия обработки материалов,   Наука;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Классификация, оценка и связь основных параметров сварки взрывом;ВС Седых ;1985; Сварка взрывом и свойства сварных соединений: …, ;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Закономерности изменения структуры сварного соединения, полученного сваркой взрывом, с увеличением его габаритов на примере …;АА Бердыченко, ЛБ Первухин ;2000; Сварка взрывом и свойства сварных соединений: …, ;none;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[HTML][HTML] Структура и микромеханические свойства в биметалле ВТ1-0+ АД1, полученном сваркой взрывом по угловой схеме;ЛМ Гуревич, ЮП Трыков, ОС КИСЕЛЕВ… ;2010; Известия …,   cyberleninka.ru;http://cyberleninka.ru/article/n/struktura-i-mikromehanicheskie-svoystva-v-bimetalle-vt1-0-ad1-poluchennom-svarkoy-vzryvom-po-uglovoy-sheme;русский;Google Scholar;none;none;

2015/07/21 15:59:58 : Found record - 2015/07/21 15:59:58;[ЦИТИРОВАНИЕ][C] Сварка взрывом в электрометаллургии;ВМ Оголихин ;2009; Новосибирск: СО РАН.. с, ;none;русский;Google Scholar;none;none;

2015/07/21 16:00:01 : Found record - 2015/07/21 15:59:58;[PDF][PDF] Экспериментально-промышленный комплекс сварки взрывом государственного предприятия;ВИ Резниченко, СН Пахомов… ;2007; … космическая техника и …,   irbisnbuv.gov.ua;http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/aktit_2007_11_14.pdf;русский;Google Scholar;10.pdf;10.txt;

2015/07/21 16:00:01 : Found record - 2015/07/21 16:00:01;[ЦИТИРОВАНИЕ][C] Особенности пластического деформирования металла околошовной зоны при сварке взрывом меди с алюминием;АП Пеев, СВ Кузьмин, ВИ Лысак ;2003; Физика и химия обработки материалов, ;none;русский;Google Scholar;none;none;

